id,label_0,label_1,label_2,label_3
100000,0.9554147,0.010705587,0.028307892,0.0055718613
100001,0.28019837,0.110937454,0.6084032,0.00046097016
100002,0.07566629,0.01919714,0.09356168,0.81157494
100003,0.818465,0.07158553,0.10442666,0.0055228737
100004,0.9146817,0.022125235,0.028004028,0.035189018
100005,0.7376814,0.06864039,0.18713728,0.0065409564
100006,0.83734465,0.03688245,0.117459536,0.008313474
100007,0.5583978,0.033554252,0.20289303,0.20515485
100008,0.7719709,0.054208126,0.102916844,0.070904076
100009,0.028062608,0.0055794297,0.030262288,0.93609565
100010,0.69492614,0.0494585,0.14396718,0.111648135
100011,0.322444,0.020224348,0.6561115,0.0012202618
100012,0.9590762,0.0193399,0.018249407,0.0033345781
100013,0.8727003,0.07378754,0.04064871,0.012863523
100014,0.46639177,0.014504878,0.19861278,0.32049063
100015,0.95256907,0.026436552,0.013258791,0.007735625
100016,0.9496269,0.010564358,0.033200275,0.0066085635
100017,0.08604852,0.018777361,0.27274856,0.6224255
100018,0.78199404,0.040769204,0.13633324,0.040903486
100019,0.21349452,0.03478923,0.14202343,0.6096929
100020,0.86767364,0.031072749,0.067392744,0.033860918
100021,0.057314143,0.012266432,0.049239047,0.88118035
100022,0.94750625,0.012442203,0.033361398,0.0066902027
100023,0.32057232,0.015325879,0.39607638,0.26802546
100024,0.9594549,0.02035218,0.010155244,0.010037787
100025,0.6725431,0.08598489,0.22943944,0.012032537
100026,0.9295978,0.024614435,0.041122053,0.0046657375
100027,0.87057084,0.02925116,0.073514685,0.026663294
100028,0.89662737,0.056803755,0.044182245,0.0023866913
100029,0.9636625,0.01955456,0.014985799,0.001797166
100030,0.9414339,0.010889743,0.044894125,0.0027822708
100031,0.9838488,0.010835907,0.0043219198,0.0009934488
100032,0.7520007,0.07666236,0.079680935,0.09165608
100033,0.92766714,0.0225632,0.03545257,0.0143170515
100034,0.9839319,0.008096042,0.0072614923,0.00071048195
100035,0.77973974,0.04222334,0.09089382,0.08714309
100036,0.7332809,0.015085822,0.23951739,0.012115877
100037,0.98179126,0.004571903,0.013036076,0.00060073385
100038,0.6048018,0.10995003,0.27018732,0.015060931
100039,0.5345667,0.023266597,0.24761657,0.19455005
100040,0.6873035,0.065797,0.19863665,0.048262816
100041,0.94958216,0.02220287,0.02536913,0.0028457728
100042,0.26874307,0.038575433,0.68960965,0.0030718725
100043,0.98215574,0.0052413815,0.01075131,0.0018515629
100044,0.97239506,0.013506484,0.007679018,0.0064193984
100045,0.6863547,0.050556216,0.14145574,0.12163331
100046,0.8826771,0.0073980107,0.079853535,0.030071326
100047,0.904784,0.032773066,0.057914592,0.004528359
100048,0.35242748,0.074578494,0.36486176,0.20813233
100049,0.9303978,0.023478854,0.0090009915,0.0371224
100050,0.8564102,0.015295478,0.12508495,0.003209499
100051,0.80447304,0.061396305,0.03305886,0.10107178
100052,0.22394101,0.06409455,0.71196234,2.0805007e-06
100053,0.0758747,0.013329289,0.9054676,0.0053283274
100054,0.98194045,0.012244331,0.0044120722,0.0014031194
100055,0.8166016,0.06688855,0.048953544,0.06755639
100056,0.9053092,0.01662709,0.016275095,0.061788615
100057,0.9795878,0.012113195,0.0070190215,0.0012800106
100058,0.9858466,0.0061620874,0.0059301234,0.0020612446
100059,0.97965974,0.011554584,0.0066552246,0.0021305014
100060,0.9878829,0.008525712,0.0027104982,0.0008808956
100061,0.9157849,0.028367879,0.042007904,0.013839389
100062,0.9617622,0.017447313,0.015443273,0.005347242
100063,0.063672885,0.011700479,0.040775914,0.88385075
100064,0.33009684,0.142992,0.497814,0.029097205
100065,0.9864835,0.0032990347,0.009838171,0.0003793255
100066,0.9224984,0.018562334,0.0559499,0.002989449
100067,0.034673654,0.00661141,0.29225948,0.66645545
100068,0.048980985,0.012088027,0.9368935,0.0020375
100069,0.6586926,0.038648587,0.08200228,0.22065645
100070,0.96561915,0.007899088,0.023800371,0.0026813187
100071,0.023948833,0.0044970103,0.017296357,0.9542578
100072,0.95962214,0.017191522,0.011615416,0.01157086
100073,0.19461611,0.024940718,0.13845395,0.64198923
100074,0.86474484,0.02145712,0.104984246,0.008813707
100075,0.11528591,0.01153932,0.8192411,0.053933695
100076,0.9125007,0.02804569,0.05521074,0.0042427653
100077,0.40384173,0.16145284,0.4342577,0.00044770376
100078,0.018607,0.0036619618,0.012572674,0.96515834
100079,0.7577498,0.14052142,0.09051431,0.011214494
100080,0.80930036,0.04095153,0.016064161,0.13368401
100081,0.55151457,0.017199967,0.3660743,0.065211095
100082,0.8844619,0.022147354,0.054049686,0.03934099
100083,0.7225958,0.062176287,0.18853088,0.026697038
100084,0.81484383,0.009016183,0.17605697,8.307004e-05
100085,0.9118867,0.044943914,0.03681098,0.006358419
100086,0.9229678,0.036402516,0.03501639,0.0056131952
100087,0.920663,0.033831965,0.03017392,0.015331239
100088,0.8417849,0.02888833,0.08736361,0.041963182
100089,0.09149965,0.018948615,0.1168297,0.772722
100090,0.72497547,0.098921254,0.15900739,0.017095936
100091,0.82059014,0.027374584,0.123983294,0.02805199
100092,0.9896151,0.00455244,0.004218467,0.0016140823
100093,0.765569,0.060618185,0.0992705,0.07454227
